jira_key,schedule_key,project_key,summary,status,rollup_mode,rollup_key,rollup_name,row_role,fix_version,drives_schedule,primary_schedule_key,resource_group,key_prefix,total_story_points,completed_story_points,logged_hours,completed_logged_hours,story_points_per_8_hours,percent_complete,in_planning,completed,target_start,target_end,predecessors,successors,dependency_review
CORE-1025,CORE-1025,CORE,Scale Rows - Core Product - Entitlement cleanup wave 26,In Progress,initiative,INIT-200,Revenue And Billing Modernization,Scheduled,,Yes,CORE-1025,Core Product Engineering,CORE,27.0,10.0,23.5,6.5,12.31,37,No,No,2026-07-27,2026-08-24,CORE-1024,CORE-1026,
CORE-1029,CORE-1029,CORE,Scale Rows - Core Product - API gateway refresh wave 30,In Progress,initiative,INIT-200,Revenue And Billing Modernization,Scheduled,,Yes,CORE-1029,Core Product Engineering,CORE,20.0,4.0,21.0,10.0,3.2,20,No,No,2026-03-02,2026-04-27,CORE-1028,CORE-1030,
CORE-1033,CORE-1033,CORE,Scale Rows - Core Product - Entitlement cleanup wave 34,To Do,initiative,INIT-200,Revenue And Billing Modernization,Scheduled,,Yes,CORE-1033,Core Product Engineering,CORE,27.0,11.0,19.5,10.0,8.8,41,No,No,2026-03-30,2026-05-18,,,
CORE-1037,CORE-1037,CORE,Scale Rows - Core Product - API gateway refresh wave 38,In Progress,initiative,INIT-200,Revenue And Billing Modernization,Scheduled,,Yes,CORE-1037,Core Product Engineering,CORE,20.0,6.0,23.5,7.0,6.86,30,No,No,2026-04-27,2026-06-08,,,
CORE-1041,CORE-1041,CORE,Scale Rows - Core Product - Entitlement cleanup wave 42,In Progress,initiative,INIT-200,Revenue And Billing Modernization,Scheduled,,Yes,CORE-1041,Core Product Engineering,CORE,27.0,6.0,15.5,3.0,16.0,22,No,No,2026-05-25,2026-06-29,,,
CORE-1045,CORE-1045,CORE,Scale Rows - Core Product - API gateway refresh wave 46,To Do,initiative,INIT-200,Revenue And Billing Modernization,Scheduled,,Yes,CORE-1045,Core Product Engineering,CORE,20.0,10.0,19.5,6.5,12.31,50,No,No,2026-06-22,2026-07-20,,,
CORE-1002,CORE-1002,CORE,Client Walkthrough - Access audit completion example,Done,initiative,INIT-700,Security Hardening,Scheduled,,Yes,CORE-1002,Core Product Engineering,CORE,21.0,21.0,18.0,18.0,9.33,100,No,Yes,2026-02-16,2026-03-30,,,
CORE-1006,CORE-1006,CORE,Client Walkthrough - Vendor gateway missing dependency example,To Do,initiative,INIT-700,Security Hardening,Scheduled,,Yes,CORE-1006,Core Product Engineering,CORE,22.0,4.0,15.5,6.5,4.92,18,No,No,2026-03-16,2026-04-20,,,Missing dependency target EXT-999.
CORE-1010,CORE-1010,CORE,Scale Rows - Core Product - Notification routing wave 11,In Progress,initiative,INIT-700,Security Hardening,Scheduled,,Yes,CORE-1010,Core Product Engineering,CORE,19.0,4.0,15.5,9.0,3.56,21,No,No,2026-04-13,2026-05-11,CORE-1009,CORE-1011,
CORE-1014,CORE-1014,CORE,Scale Rows - Core Product - Consent preference updates wave 15,In Progress,initiative,INIT-700,Security Hardening,Scheduled,,Yes,CORE-1014,Core Product Engineering,CORE,19.0,7.0,14.5,6.0,9.33,37,No,No,2026-05-11,2026-07-06,CORE-1013,CORE-1015,
CORE-1018,CORE-1018,CORE,Scale Rows - Core Product - Notification routing wave 19,To Do,initiative,INIT-700,Security Hardening,Scheduled,,Yes,CORE-1018,Core Product Engineering,CORE,19.0,11.0,13.5,3.0,29.33,58,No,No,2026-06-08,2026-07-27,CORE-1017,CORE-1019,
CORE-1022,CORE-1022,CORE,Scale Rows - Core Product - Consent preference updates wave 23,In Progress,initiative,INIT-700,Security Hardening,Scheduled,,Yes,CORE-1022,Core Product Engineering,CORE,19.0,8.0,15.5,0.5,128.0,42,No,No,2026-07-06,2026-08-17,CORE-1021,CORE-1023,
CORE-1026,CORE-1026,CORE,Scale Rows - Core Product - Notification routing wave 27,In Progress,initiative,INIT-700,Security Hardening,Scheduled,,Yes,CORE-1026,Core Product Engineering,CORE,19.0,1.0,14.5,5.5,1.45,5,No,No,2026-08-03,2026-09-07,CORE-1025,CORE-1027,
CORE-1030,CORE-1030,CORE,Scale Rows - Core Product - Consent preference updates wave 31,To Do,initiative,INIT-700,Security Hardening,Scheduled,,Yes,CORE-1030,Core Product Engineering,CORE,19.0,4.0,16.5,9.0,3.56,21,No,No,2026-03-09,2026-04-06,CORE-1029,CORE-1031,
CORE-1034,CORE-1034,CORE,Scale Rows - Core Product - Notification routing wave 35,In Progress,initiative,INIT-700,Security Hardening,Scheduled,,Yes,CORE-1034,Core Product Engineering,CORE,19.0,7.0,15.5,6.0,9.33,37,No,No,2026-04-06,2026-06-01,,,
CORE-1038,CORE-1038,CORE,Scale Rows - Core Product - Consent preference updates wave 39,In Progress,initiative,INIT-700,Security Hardening,Scheduled,,Yes,CORE-1038,Core Product Engineering,CORE,19.0,11.0,14.5,3.0,29.33,58,No,No,2026-05-04,2026-06-22,,,
CORE-1042,CORE-1042,CORE,Scale Rows - Core Product - Notification routing wave 43,To Do,initiative,INIT-700,Security Hardening,Scheduled,,Yes,CORE-1042,Core Product Engineering,CORE,19.0,11.0,16.5,5.5,16.0,58,No,No,2026-06-01,2026-07-13,,,
CORE-1046,CORE-1046,CORE,Scale Rows - Core Product - Consent preference updates wave 47,In Progress,initiative,INIT-700,Security Hardening,Scheduled,,Yes,CORE-1046,Core Product Engineering,CORE,19.0,6.0,15.5,9.0,5.33,32,No,No,2026-06-29,2026-08-03,,,
CORE-1007,CORE-1007,CORE,Client Walkthrough - Account settings dependency change example,In Progress,initiative,INIT-800,Integrations Roadmap,Scheduled,,Yes,CORE-1007,Core Product Engineering,CORE,24.0,13.0,18.0,10.5,9.9,54,No,No,2026-03-23,2026-05-04,CORE-1001,,
CORE-1011,CORE-1011,CORE,Scale Rows - Core Product - Session management wave 12,In Progress,initiative,INIT-800,Integrations Roadmap,Scheduled,,Yes,CORE-1011,Core Product Engineering,CORE,20.0,10.0,15.0,5.0,16.0,50,No,No,2026-04-20,2026-05-25,CORE-1010,CORE-1012,
CORE-1015,CORE-1015,CORE,Scale Rows - Core Product - Fraud signal ingestion wave 16,To Do,initiative,INIT-800,Integrations Roadmap,Scheduled,,Yes,CORE-1015,Core Product Engineering,CORE,21.0,4.0,12.5,2.0,16.0,19,No,No,2026-05-18,2026-06-15,CORE-1014,CORE-1016,
CORE-1019,CORE-1019,CORE,Scale Rows - Core Product - Session management wave 20,In Progress,initiative,INIT-800,Integrations Roadmap,Scheduled,,Yes,CORE-1019,Core Product Engineering,CORE,22.0,7.0,16.5,5.5,10.18,32,No,No,2026-06-15,2026-08-10,CORE-1018,CORE-1020,
CORE-1023,CORE-1023,CORE,Scale Rows - Core Product - Fraud signal ingestion wave 24,In Progress,initiative,INIT-800,Integrations Roadmap,Scheduled,,Yes,CORE-1023,Core Product Engineering,CORE,21.0,7.0,15.0,8.0,7.0,33,No,No,2026-07-13,2026-08-31,CORE-1022,CORE-1024,
CORE-1027,CORE-1027,CORE,Scale Rows - Core Product - Session management wave 28,To Do,initiative,INIT-800,Integrations Roadmap,Scheduled,,Yes,CORE-1027,Core Product Engineering,CORE,22.0,11.0,12.5,5.0,17.6,50,No,No,2026-08-10,2026-09-21,CORE-1026,CORE-1028,
CORE-1031,CORE-1031,CORE,Scale Rows - Core Product - Fraud signal ingestion wave 32,In Progress,initiative,INIT-800,Integrations Roadmap,Scheduled,,Yes,CORE-1031,Core Product Engineering,CORE,21.0,10.0,17.5,5.0,16.0,48,No,No,2026-03-16,2026-04-20,CORE-1030,CORE-1032,
CORE-1035,CORE-1035,CORE,Scale Rows - Core Product - Session management wave 36,In Progress,initiative,INIT-800,Integrations Roadmap,Scheduled,,Yes,CORE-1035,Core Product Engineering,CORE,22.0,4.0,15.0,2.0,16.0,18,No,No,2026-04-13,2026-05-11,,,
CORE-1039,CORE-1039,CORE,Scale Rows - Core Product - Fraud signal ingestion wave 40,To Do,initiative,INIT-800,Integrations Roadmap,Scheduled,,Yes,CORE-1039,Core Product Engineering,CORE,24.0,7.0,12.5,5.5,10.18,29,No,No,2026-05-11,2026-07-06,,,
CORE-1043,CORE-1043,CORE,Scale Rows - Core Product - Session management wave 44,In Progress,initiative,INIT-800,Integrations Roadmap,Scheduled,,Yes,CORE-1043,Core Product Engineering,CORE,22.0,7.0,17.5,8.0,7.0,32,No,No,2026-06-08,2026-07-27,,,
CORE-1047,CORE-1047,CORE,Scale Rows - Core Product - Fraud signal ingestion wave 48,In Progress,initiative,INIT-800,Integrations Roadmap,Scheduled,,Yes,CORE-1047,Core Product Engineering,CORE,24.0,11.0,15.0,5.0,17.6,46,No,No,2026-07-06,2026-08-17,,,
