jira_key,schedule_key,project_key,summary,status,rollup_mode,rollup_key,rollup_name,row_role,fix_version,drives_schedule,primary_schedule_key,resource_group,key_prefix,total_story_points,completed_story_points,logged_hours,completed_logged_hours,story_point_ratio,percent_complete,in_planning,completed,target_start,target_end,predecessors,successors,dependency_review
WEB-2031,WEB-2031,WEB,Scale Rows - Web Experience - Experiment cleanup wave 32,In Progress,initiative,INIT-100,Customer Identity And Access,Scheduled,,Yes,WEB-2031,Web Experience,WEB,19.0,6.0,14.5,3.0,16.0,32,No,No,2026-09-07,2026-10-12,,,
WEB-2034,WEB-2034,WEB,Scale Rows - Web Experience - Homepage personalization wave 35,In Progress,initiative,INIT-100,Customer Identity And Access,Scheduled,,Yes,WEB-2034,Web Experience,WEB,19.0,11.0,16.0,7.5,11.73,58,No,No,2026-04-06,2026-06-01,,,
WEB-2037,WEB-2037,WEB,Scale Rows - Web Experience - Navigation refresh wave 38,In Progress,initiative,INIT-100,Customer Identity And Access,Scheduled,,Yes,WEB-2037,Web Experience,WEB,19.0,7.0,11.0,5.5,10.18,37,No,No,2026-04-27,2026-06-08,,,
WEB-2040,WEB-2040,WEB,Scale Rows - Web Experience - Search results tuning wave 41,In Progress,initiative,INIT-100,Customer Identity And Access,Scheduled,,Yes,WEB-2040,Web Experience,WEB,27.0,6.0,15.0,5.0,9.6,22,No,No,2026-05-18,2026-06-15,,,
WEB-2043,WEB-2043,WEB,Scale Rows - Web Experience - Accessibility remediation wave 44,In Progress,initiative,INIT-100,Customer Identity And Access,Scheduled,,Yes,WEB-2043,Web Experience,WEB,24.0,11.0,15.5,3.0,29.33,46,No,No,2026-06-08,2026-07-27,,,
WEB-2002,WEB-2002,WEB,Scale Rows - Web Experience - Homepage personalization wave 03,In Progress,initiative,INIT-1200,Search And Discovery,Scheduled,,Yes,WEB-2002,Web Experience,WEB,22.0,7.0,18.0,6.0,9.33,32,No,No,2026-08-10,2026-09-21,WEB-2001,WEB-2003,
WEB-2005,WEB-2005,WEB,Scale Rows - Web Experience - Navigation refresh wave 06,In Progress,initiative,INIT-1200,Search And Discovery,Scheduled,,Yes,WEB-2005,Web Experience,WEB,21.0,4.0,18.5,4.0,8.0,19,No,No,2026-08-31,2026-09-28,WEB-2004,WEB-2006,
WEB-2008,WEB-2008,WEB,Client Walkthrough - Web launch self dependency example,In Progress,initiative,INIT-1200,Search And Discovery,Scheduled,,Yes,WEB-2008,Web Experience,WEB,20.0,10.0,12.5,2.0,40.0,50,No,No,2026-03-30,2026-05-18,,,
WEB-2011,WEB-2011,WEB,Scale Rows - Web Experience - Accessibility remediation wave 12,In Progress,initiative,INIT-1200,Search And Discovery,Scheduled,,Yes,WEB-2011,Web Experience,WEB,19.0,5.0,12.0,5.0,8.0,26,No,No,2026-04-20,2026-05-25,WEB-2009,WEB-2012,
WEB-2014,WEB-2014,WEB,Scale Rows - Web Experience - Localization pass wave 15,In Progress,initiative,INIT-1200,Search And Discovery,Scheduled,,Yes,WEB-2014,Web Experience,WEB,19.0,3.0,13.5,4.0,6.0,16,No,No,2026-05-11,2026-07-06,WEB-2013,WEB-2015,
WEB-2017,WEB-2017,WEB,Scale Rows - Web Experience - Checkout web flow wave 18,In Progress,initiative,INIT-1200,Search And Discovery,Scheduled,,Yes,WEB-2017,Web Experience,WEB,19.0,2.0,15.0,3.0,5.33,11,No,No,2026-06-01,2026-07-13,WEB-2016,WEB-2018,
WEB-2020,WEB-2020,WEB,Scale Rows - Web Experience - Content publishing wave 21,In Progress,initiative,INIT-1200,Search And Discovery,Scheduled,,Yes,WEB-2020,Web Experience,WEB,20.0,6.0,18.5,7.5,6.4,30,No,No,2026-06-22,2026-07-20,WEB-2019,WEB-2021,
WEB-2023,WEB-2023,WEB,Scale Rows - Web Experience - Experiment cleanup wave 24,In Progress,initiative,INIT-1200,Search And Discovery,Scheduled,,Yes,WEB-2023,Web Experience,WEB,27.0,11.0,12.5,5.5,16.0,41,No,No,2026-07-13,2026-08-31,WEB-2022,WEB-2024,
WEB-2026,WEB-2026,WEB,Scale Rows - Web Experience - Homepage personalization wave 27,In Progress,initiative,INIT-1200,Search And Discovery,Scheduled,,Yes,WEB-2026,Web Experience,WEB,24.0,7.0,19.5,10.0,5.6,29,No,No,2026-08-03,2026-09-07,WEB-2025,,
WEB-2029,WEB-2029,WEB,Scale Rows - Web Experience - Navigation refresh wave 30,In Progress,initiative,INIT-1200,Search And Discovery,Scheduled,,Yes,WEB-2029,Web Experience,WEB,22.0,4.0,20.0,8.0,4.0,18,No,No,2026-08-24,2026-10-19,,,
WEB-2032,WEB-2032,WEB,Scale Rows - Web Experience - Search results tuning wave 33,In Progress,initiative,INIT-1200,Search And Discovery,Scheduled,,Yes,WEB-2032,Web Experience,WEB,19.0,11.0,15.0,7.5,11.73,58,No,No,2026-09-14,2026-10-26,,,
WEB-2035,WEB-2035,WEB,Scale Rows - Web Experience - Accessibility remediation wave 36,In Progress,initiative,INIT-1200,Search And Discovery,Scheduled,,Yes,WEB-2035,Web Experience,WEB,19.0,7.0,16.5,5.5,10.18,37,No,No,2026-04-13,2026-05-11,,,
WEB-2038,WEB-2038,WEB,Scale Rows - Web Experience - Localization pass wave 39,In Progress,initiative,INIT-1200,Search And Discovery,Scheduled,,Yes,WEB-2038,Web Experience,WEB,19.0,4.0,18.0,10.0,3.2,21,No,No,2026-05-04,2026-06-22,,,
WEB-2041,WEB-2041,WEB,Scale Rows - Web Experience - Checkout web flow wave 42,In Progress,initiative,INIT-1200,Search And Discovery,Scheduled,,Yes,WEB-2041,Web Experience,WEB,22.0,11.0,19.5,3.0,29.33,50,No,No,2026-05-25,2026-06-29,,,
WEB-2044,WEB-2044,WEB,Scale Rows - Web Experience - Content publishing wave 45,In Progress,initiative,INIT-1200,Search And Discovery,Scheduled,,Yes,WEB-2044,Web Experience,WEB,21.0,7.0,20.0,7.5,7.47,33,No,No,2026-06-15,2026-08-10,,,
WEB-2000,WEB-2000,WEB,Scale Rows - Web Experience - Search results tuning wave 01,To Do,initiative,INIT-500,Web Experience Refresh,Scheduled,,Yes,WEB-2000,Web Experience,WEB,21.0,7.0,15.5,6.0,9.33,33,No,No,2026-07-27,2026-08-24,,WEB-2001,
WEB-2003,WEB-2003,WEB,Scale Rows - Web Experience - Accessibility remediation wave 04,To Do,initiative,INIT-500,Web Experience Refresh,Scheduled,,Yes,WEB-2003,Web Experience,WEB,20.0,4.0,16.0,4.0,8.0,20,No,No,2026-08-17,2026-10-05,WEB-2002,WEB-2004,
WEB-2006,WEB-2006,WEB,Scale Rows - Web Experience - Localization pass wave 07,To Do,initiative,INIT-500,Web Experience Refresh,Scheduled,,Yes,WEB-2006,Web Experience,WEB,27.0,10.0,16.5,2.0,40.0,37,No,No,2026-03-16,2026-04-20,WEB-2005,WEB-2007,
WEB-2009,WEB-2009,WEB,Scale Rows - Web Experience - Checkout web flow wave 10,To Do,initiative,INIT-500,Web Experience Refresh,Scheduled,,Yes,WEB-2009,Web Experience,WEB,24.0,6.0,23.5,6.5,7.38,25,No,No,2026-04-06,2026-06-01,WEB-2007,WEB-2011,
WEB-2012,WEB-2012,WEB,Scale Rows - Web Experience - Content publishing wave 13,To Do,initiative,INIT-500,Web Experience Refresh,Scheduled,,Yes,WEB-2012,Web Experience,WEB,19.0,11.0,19.0,10.0,8.8,58,No,No,2026-04-27,2026-06-08,WEB-2011,WEB-2013,
WEB-2015,WEB-2015,WEB,Scale Rows - Web Experience - Experiment cleanup wave 16,To Do,initiative,INIT-500,Web Experience Refresh,Scheduled,,Yes,WEB-2015,Web Experience,WEB,19.0,7.0,14.0,8.0,7.0,37,No,No,2026-05-18,2026-06-15,WEB-2014,WEB-2016,
WEB-2018,WEB-2018,WEB,Scale Rows - Web Experience - Homepage personalization wave 19,To Do,initiative,INIT-500,Web Experience Refresh,Scheduled,,Yes,WEB-2018,Web Experience,WEB,19.0,4.0,15.5,6.0,5.33,21,No,No,2026-06-08,2026-07-27,WEB-2017,WEB-2019,
WEB-2021,WEB-2021,WEB,Scale Rows - Web Experience - Navigation refresh wave 22,To Do,initiative,INIT-500,Web Experience Refresh,Scheduled,,Yes,WEB-2021,Web Experience,WEB,24.0,11.0,16.5,5.5,16.0,46,No,No,2026-06-29,2026-08-03,WEB-2020,WEB-2022,
WEB-2024,WEB-2024,WEB,Scale Rows - Web Experience - Search results tuning wave 25,To Do,initiative,INIT-500,Web Experience Refresh,Scheduled,,Yes,WEB-2024,Web Experience,WEB,22.0,7.0,23.5,10.0,5.6,32,No,No,2026-07-20,2026-09-14,WEB-2023,WEB-2025,
WEB-2027,WEB-2027,WEB,Scale Rows - Web Experience - Accessibility remediation wave 28,To Do,initiative,INIT-500,Web Experience Refresh,Scheduled,,Yes,WEB-2027,Web Experience,WEB,21.0,4.0,17.5,8.0,4.0,19,No,No,2026-08-10,2026-09-21,,,
WEB-2030,WEB-2030,WEB,Scale Rows - Web Experience - Localization pass wave 31,To Do,initiative,INIT-500,Web Experience Refresh,Scheduled,,Yes,WEB-2030,Web Experience,WEB,19.0,8.0,14.0,1.5,42.67,42,No,No,2026-08-31,2026-09-28,,,
WEB-2033,WEB-2033,WEB,Scale Rows - Web Experience - Checkout web flow wave 34,To Do,initiative,INIT-500,Web Experience Refresh,Scheduled,,Yes,WEB-2033,Web Experience,WEB,19.0,5.0,15.5,0.5,80.0,26,No,No,2026-09-21,2026-11-09,,,
WEB-2036,WEB-2036,WEB,Scale Rows - Web Experience - Content publishing wave 37,To Do,initiative,INIT-500,Web Experience Refresh,Scheduled,,Yes,WEB-2036,Web Experience,WEB,19.0,3.0,17.0,6.0,4.0,16,No,No,2026-04-20,2026-05-25,,,
WEB-2039,WEB-2039,WEB,Scale Rows - Web Experience - Experiment cleanup wave 40,To Do,initiative,INIT-500,Web Experience Refresh,Scheduled,,Yes,WEB-2039,Web Experience,WEB,19.0,2.0,12.0,5.0,3.2,11,No,No,2026-05-11,2026-07-06,,,
WEB-2042,WEB-2042,WEB,Scale Rows - Web Experience - Homepage personalization wave 43,To Do,initiative,INIT-500,Web Experience Refresh,Scheduled,,Yes,WEB-2042,Web Experience,WEB,20.0,6.0,17.5,5.0,9.6,30,No,No,2026-06-01,2026-07-13,,,
