severity,category,jira_key,schedule_key,project_key,issue_type,summary,field,old_value,new_value,color,message,reviewer_action,source_row,planning_date,planning_bucket
Info,ChangedField,WEB-2030,WEB-2030,WEB,Epic,Scale Rows - Web Experience - Localization pass wave 31,Completed Story Points,8,11,changed_cell,Completed Story Points changed from '8' to '11'.,Review the changed sandbox cell.,45,2026-08-31,Immediate
Info,ChangedField,WEB-2030,WEB-2030,WEB,Epic,Scale Rows - Web Experience - Localization pass wave 31,Logged Hours,14,20,changed_cell,Logged Hours changed from '14' to '20'.,Review the changed sandbox cell.,45,2026-08-31,Immediate
Info,ChangedField,WEB-2030,WEB-2030,WEB,Epic,Scale Rows - Web Experience - Localization pass wave 31,Story Point Ratio,42.67,11.73,changed_cell,Story Point Ratio changed from '42.67' to '11.73'.,Review the changed sandbox cell.,45,2026-08-31,Immediate
Info,ChangedField,WEB-2021,WEB-2021,WEB,Epic,Scale Rows - Web Experience - Navigation refresh wave 22,% Complete,46,34,changed_cell,% Complete changed from '46' to '34'.,Review the changed sandbox cell.,46,2026-06-29,Immediate
Info,ChangedField,WEB-2021,WEB-2021,WEB,Epic,Scale Rows - Web Experience - Navigation refresh wave 22,Total Story Points,24,32,changed_cell,Total Story Points changed from '24' to '32'.,Review the changed sandbox cell.,46,2026-06-29,Immediate
Info,ChangedField,WEB-2021,WEB-2021,WEB,Epic,Scale Rows - Web Experience - Navigation refresh wave 22,Logged Hours,16.5,18,changed_cell,Logged Hours changed from '16.5' to '18'.,Review the changed sandbox cell.,46,2026-06-29,Immediate
Info,ChangedField,WEB-2012,WEB-2012,WEB,Epic,Scale Rows - Web Experience - Content publishing wave 13,% Complete,58,41,changed_cell,% Complete changed from '58' to '41'.,Review the changed sandbox cell.,47,2026-04-27,Immediate
Info,ChangedField,WEB-2012,WEB-2012,WEB,Epic,Scale Rows - Web Experience - Content publishing wave 13,Total Story Points,19,27,changed_cell,Total Story Points changed from '19' to '27'.,Review the changed sandbox cell.,47,2026-04-27,Immediate
Info,ChangedField,WEB-2012,WEB-2012,WEB,Epic,Scale Rows - Web Experience - Content publishing wave 13,Logged Hours,19,19.5,changed_cell,Logged Hours changed from '19' to '19.5'.,Review the changed sandbox cell.,47,2026-04-27,Immediate
Info,ChangedField,WEB-2003,WEB-2003,WEB,Epic,Scale Rows - Web Experience - Accessibility remediation wave 04,% Complete,20,18,changed_cell,% Complete changed from '20' to '18'.,Review the changed sandbox cell.,48,2026-08-17,Immediate
Info,ChangedField,WEB-2003,WEB-2003,WEB,Epic,Scale Rows - Web Experience - Accessibility remediation wave 04,Total Story Points,20,22,changed_cell,Total Story Points changed from '20' to '22'.,Review the changed sandbox cell.,48,2026-08-17,Immediate
Info,ChangedField,WEB-2003,WEB-2003,WEB,Epic,Scale Rows - Web Experience - Accessibility remediation wave 04,Logged Hours,16,18.5,changed_cell,Logged Hours changed from '16' to '18.5'.,Review the changed sandbox cell.,48,2026-08-17,Immediate
