jira_key,schedule_key,project_key,summary,status,rollup_mode,rollup_key,rollup_name,row_role,fix_version,drives_schedule,primary_schedule_key,resource_group,key_prefix,total_story_points,completed_story_points,logged_hours,completed_logged_hours,hours_accuracy_percent,percent_complete,in_planning,completed,target_start,target_end,predecessors,successors,dependency_review
PLAT-4026,PLAT-4026,PLAT,Scale Rows - Platform Services - Secrets management wave 27,In Progress,fixVersion,Shared Services 2026,Shared Services 2026,Scheduled,Shared Services 2026,Yes,PLAT-4026,Platform Engineering,PLAT,19.0,7.0,15.0,7.5,13.4,37,No,No,2026-09-07,2026-10-12,,,
PLAT-4029,PLAT-4029,PLAT,Client Walkthrough - Deployment runner fixVersion example,In Progress,fixVersion,Shared Services 2026,Shared Services 2026,Scheduled,Shared Services 2026,Yes,PLAT-4029,Platform Engineering,PLAT,27.0,6.0,12.5,2.0,4.2,22,No,No,2026-09-28,2026-11-23,,,
CORE-1000,CORE-1000,CORE,Client Walkthrough - Identity API name before Jira rename,To Do,initiative,INIT-100,Customer Identity And Access,Scheduled,,Yes,CORE-1000,Core Product Engineering,CORE,24.0,7.0,16.0,4.5,8.0,29,No,No,2026-02-02,2026-03-02,,,
CORE-1003,CORE-1003,CORE,Client Walkthrough - Billing integration rollup move example,To Do,initiative,INIT-100,Customer Identity And Access,Scheduled,,Yes,CORE-1003,Core Product Engineering,CORE,22.0,8.0,15.5,8.5,13.3,36,No,No,2026-02-23,2026-04-13,,,
CORE-1004,CORE-1004,CORE,Client Walkthrough - Payment cutover schedule driver candidate,In Progress,initiative,INIT-100,Customer Identity And Access,Scheduled,,Yes,CORE-1004,Core Product Engineering,CORE,27.0,11.0,20.0,8.0,9.1,41,No,No,2026-03-02,2026-04-27,,CORE-1005,
CORE-1008,CORE-1008,CORE,Scale Rows - Core Product - Profile service rollout wave 09,In Progress,initiative,INIT-100,Customer Identity And Access,Scheduled,,Yes,CORE-1008,Core Product Engineering,CORE,19.0,6.0,13.0,5.0,10.4,32,No,No,2026-03-30,2026-05-18,,,
CORE-1012,CORE-1012,CORE,Scale Rows - Core Product - Account recovery wave 13,To Do,initiative,INIT-100,Customer Identity And Access,Scheduled,,Yes,CORE-1012,Core Product Engineering,CORE,19.0,6.0,15.0,7.5,15.6,32,No,No,2026-04-27,2026-06-08,,,
CORE-1016,CORE-1016,CORE,Scale Rows - Core Product - Profile service rollout wave 17,In Progress,initiative,INIT-100,Customer Identity And Access,Scheduled,,Yes,CORE-1016,Core Product Engineering,CORE,19.0,10.0,14.0,4.5,5.6,53,No,No,2026-05-25,2026-06-29,,,
CORE-1020,CORE-1020,CORE,Scale Rows - Core Product - Account recovery wave 21,In Progress,initiative,INIT-100,Customer Identity And Access,Scheduled,,Yes,CORE-1020,Core Product Engineering,CORE,19.0,2.0,16.0,4.5,28.1,11,No,No,2026-06-22,2026-07-20,,,
CORE-1024,CORE-1024,CORE,Scale Rows - Core Product - Profile service rollout wave 25,To Do,initiative,INIT-100,Customer Identity And Access,Scheduled,,Yes,CORE-1024,Core Product Engineering,CORE,19.0,3.0,15.0,3.0,12.5,16,No,No,2026-07-20,2026-09-14,,,
CORE-1028,CORE-1028,CORE,Scale Rows - Core Product - Account recovery wave 29,In Progress,initiative,INIT-100,Customer Identity And Access,Scheduled,,Yes,CORE-1028,Core Product Engineering,CORE,19.0,5.0,14.0,1.5,3.8,26,No,No,2026-02-23,2026-04-13,,,
CORE-1032,CORE-1032,CORE,Scale Rows - Core Product - Profile service rollout wave 33,In Progress,initiative,INIT-100,Customer Identity And Access,Scheduled,,Yes,CORE-1032,Core Product Engineering,CORE,19.0,6.0,16.0,7.5,15.6,32,No,No,2026-03-23,2026-05-04,,,
CORE-1036,CORE-1036,CORE,Scale Rows - Core Product - Account recovery wave 37,To Do,initiative,INIT-100,Customer Identity And Access,Scheduled,,Yes,CORE-1036,Core Product Engineering,CORE,19.0,10.0,15.0,4.5,5.6,53,No,No,2026-04-20,2026-05-25,,,
CORE-1040,CORE-1040,CORE,Scale Rows - Core Product - Profile service rollout wave 41,In Progress,initiative,INIT-100,Customer Identity And Access,Scheduled,,Yes,CORE-1040,Core Product Engineering,CORE,19.0,10.0,17.0,7.0,8.8,53,No,No,2026-05-18,2026-06-15,,,
CORE-1044,CORE-1044,CORE,Scale Rows - Core Product - Account recovery wave 45,In Progress,initiative,INIT-100,Customer Identity And Access,Scheduled,,Yes,CORE-1044,Core Product Engineering,CORE,19.0,4.0,16.0,4.0,12.5,21,No,No,2026-06-15,2026-08-10,,,
CORE-1048,CORE-1048,CORE,Client Walkthrough - Legacy schedule item present only in baseline,To Do,initiative,INIT-100,Customer Identity And Access,Scheduled,,Yes,CORE-1048,Core Product Engineering,CORE,22.0,7.0,16.0,7.5,13.4,32,No,No,2026-07-13,2026-08-31,,,
WEB-2001,WEB-2001,WEB,Scale Rows - Web Experience - Checkout web flow wave 02,In Progress,initiative,INIT-100,Customer Identity And Access,Scheduled,,Yes,WEB-2001,Web Experience,WEB,27.0,11.0,20.0,8.0,9.1,41,No,No,2026-08-03,2026-09-07,,,
WEB-2004,WEB-2004,WEB,Scale Rows - Web Experience - Content publishing wave 05,In Progress,initiative,INIT-100,Customer Identity And Access,Scheduled,,Yes,WEB-2004,Web Experience,WEB,24.0,7.0,20.5,6.0,10.7,29,No,No,2026-08-24,2026-10-19,,,
WEB-2007,WEB-2007,WEB,Scale Rows - Web Experience - Experiment cleanup wave 08,In Progress,initiative,INIT-100,Customer Identity And Access,Scheduled,,Yes,WEB-2007,Web Experience,WEB,22.0,4.0,21.0,4.0,12.5,18,No,No,2026-03-23,2026-05-04,,,
WEB-2010,WEB-2010,WEB,Client Walkthrough - Design system discovery with no pointed child work,To Do,initiative,INIT-100,Customer Identity And Access,Scheduled,,Yes,WEB-2010,Web Experience,WEB,0.0,0.0,0.0,0.0,0.0,0,Yes,No,2026-04-13,2026-05-11,,,
WEB-2013,WEB-2013,WEB,Scale Rows - Web Experience - Navigation refresh wave 14,In Progress,initiative,INIT-100,Customer Identity And Access,Scheduled,,Yes,WEB-2013,Web Experience,WEB,19.0,7.0,13.0,8.0,14.3,37,No,No,2026-05-04,2026-06-22,,,
WEB-2016,WEB-2016,WEB,Scale Rows - Web Experience - Search results tuning wave 17,In Progress,initiative,INIT-100,Customer Identity And Access,Scheduled,,Yes,WEB-2016,Web Experience,WEB,19.0,4.0,14.5,6.0,18.8,21,No,No,2026-05-25,2026-06-29,,,
WEB-2019,WEB-2019,WEB,Scale Rows - Web Experience - Accessibility remediation wave 20,In Progress,initiative,INIT-100,Customer Identity And Access,Scheduled,,Yes,WEB-2019,Web Experience,WEB,19.0,10.0,16.0,4.0,5.0,53,No,No,2026-06-15,2026-08-10,,,
WEB-2022,WEB-2022,WEB,Scale Rows - Web Experience - Localization pass wave 23,In Progress,initiative,INIT-100,Customer Identity And Access,Scheduled,,Yes,WEB-2022,Web Experience,WEB,21.0,7.0,21.0,10.0,17.9,33,No,No,2026-07-06,2026-08-17,,,
WEB-2025,WEB-2025,WEB,Scale Rows - Web Experience - Checkout web flow wave 26,In Progress,initiative,INIT-100,Customer Identity And Access,Scheduled,,Yes,WEB-2025,Web Experience,WEB,20.0,4.0,15.0,8.0,25.0,20,No,No,2026-07-27,2026-08-24,,,
WEB-2028,WEB-2028,WEB,Scale Rows - Web Experience - Content publishing wave 29,In Progress,initiative,INIT-100,Customer Identity And Access,Scheduled,,Yes,WEB-2028,Web Experience,WEB,27.0,10.0,15.5,6.0,7.5,37,No,No,2026-08-17,2026-10-05,,,
WEB-2031,WEB-2031,WEB,Scale Rows - Web Experience - Experiment cleanup wave 32,In Progress,initiative,INIT-100,Customer Identity And Access,Scheduled,,Yes,WEB-2031,Web Experience,WEB,19.0,6.0,14.5,3.0,6.2,32,No,No,2026-09-07,2026-10-12,,,
WEB-2034,WEB-2034,WEB,Scale Rows - Web Experience - Homepage personalization wave 35,In Progress,initiative,INIT-100,Customer Identity And Access,Scheduled,,Yes,WEB-2034,Web Experience,WEB,19.0,11.0,16.0,7.5,8.5,58,No,No,2026-04-06,2026-06-01,,,
WEB-2037,WEB-2037,WEB,Scale Rows - Web Experience - Navigation refresh wave 38,In Progress,initiative,INIT-100,Customer Identity And Access,Scheduled,,Yes,WEB-2037,Web Experience,WEB,19.0,7.0,11.0,5.5,9.8,37,No,No,2026-04-27,2026-06-08,,,
WEB-2040,WEB-2040,WEB,Scale Rows - Web Experience - Search results tuning wave 41,In Progress,initiative,INIT-100,Customer Identity And Access,Scheduled,,Yes,WEB-2040,Web Experience,WEB,27.0,6.0,15.0,5.0,10.4,22,No,No,2026-05-18,2026-06-15,,,
WEB-2043,WEB-2043,WEB,Scale Rows - Web Experience - Accessibility remediation wave 44,In Progress,initiative,INIT-100,Customer Identity And Access,Scheduled,,Yes,WEB-2043,Web Experience,WEB,24.0,11.0,15.5,3.0,3.4,46,No,No,2026-06-08,2026-07-27,,,
WEB-2002,WEB-2002,WEB,Scale Rows - Web Experience - Homepage personalization wave 03,In Progress,initiative,INIT-1200,Search And Discovery,Scheduled,,Yes,WEB-2002,Web Experience,WEB,22.0,7.0,18.0,6.0,10.7,32,No,No,2026-08-10,2026-09-21,,,
WEB-2005,WEB-2005,WEB,Scale Rows - Web Experience - Navigation refresh wave 06,In Progress,initiative,INIT-1200,Search And Discovery,Scheduled,,Yes,WEB-2005,Web Experience,WEB,21.0,4.0,18.5,4.0,12.5,19,No,No,2026-08-31,2026-09-28,,,
WEB-2008,WEB-2008,WEB,Client Walkthrough - Web launch self dependency example,In Progress,initiative,INIT-1200,Search And Discovery,Scheduled,,Yes,WEB-2008,Web Experience,WEB,20.0,10.0,12.5,2.0,2.5,50,No,No,2026-03-30,2026-05-18,,,
WEB-2011,WEB-2011,WEB,Scale Rows - Web Experience - Accessibility remediation wave 12,In Progress,initiative,INIT-1200,Search And Discovery,Scheduled,,Yes,WEB-2011,Web Experience,WEB,19.0,5.0,12.0,5.0,12.5,26,No,No,2026-04-20,2026-05-25,,,
WEB-2014,WEB-2014,WEB,Scale Rows - Web Experience - Localization pass wave 15,In Progress,initiative,INIT-1200,Search And Discovery,Scheduled,,Yes,WEB-2014,Web Experience,WEB,19.0,3.0,13.5,4.0,16.7,16,No,No,2026-05-11,2026-07-06,,,
WEB-2017,WEB-2017,WEB,Scale Rows - Web Experience - Checkout web flow wave 18,In Progress,initiative,INIT-1200,Search And Discovery,Scheduled,,Yes,WEB-2017,Web Experience,WEB,19.0,2.0,15.0,3.0,18.8,11,No,No,2026-06-01,2026-07-13,,,
WEB-2020,WEB-2020,WEB,Scale Rows - Web Experience - Content publishing wave 21,In Progress,initiative,INIT-1200,Search And Discovery,Scheduled,,Yes,WEB-2020,Web Experience,WEB,20.0,6.0,18.5,7.5,15.6,30,No,No,2026-06-22,2026-07-20,,,
WEB-2023,WEB-2023,WEB,Scale Rows - Web Experience - Experiment cleanup wave 24,In Progress,initiative,INIT-1200,Search And Discovery,Scheduled,,Yes,WEB-2023,Web Experience,WEB,27.0,11.0,12.5,5.5,6.2,41,No,No,2026-07-13,2026-08-31,,,
WEB-2026,WEB-2026,WEB,Scale Rows - Web Experience - Homepage personalization wave 27,In Progress,initiative,INIT-1200,Search And Discovery,Scheduled,,Yes,WEB-2026,Web Experience,WEB,24.0,7.0,19.5,10.0,17.9,29,No,No,2026-08-03,2026-09-07,,,
WEB-2029,WEB-2029,WEB,Scale Rows - Web Experience - Navigation refresh wave 30,In Progress,initiative,INIT-1200,Search And Discovery,Scheduled,,Yes,WEB-2029,Web Experience,WEB,22.0,4.0,20.0,8.0,25.0,18,No,No,2026-08-24,2026-10-19,,,
WEB-2032,WEB-2032,WEB,Scale Rows - Web Experience - Search results tuning wave 33,In Progress,initiative,INIT-1200,Search And Discovery,Scheduled,,Yes,WEB-2032,Web Experience,WEB,19.0,11.0,15.0,7.5,8.5,58,No,No,2026-09-14,2026-10-26,,,
WEB-2035,WEB-2035,WEB,Scale Rows - Web Experience - Accessibility remediation wave 36,In Progress,initiative,INIT-1200,Search And Discovery,Scheduled,,Yes,WEB-2035,Web Experience,WEB,19.0,7.0,16.5,5.5,9.8,37,No,No,2026-04-13,2026-05-11,,,
WEB-2038,WEB-2038,WEB,Scale Rows - Web Experience - Localization pass wave 39,In Progress,initiative,INIT-1200,Search And Discovery,Scheduled,,Yes,WEB-2038,Web Experience,WEB,19.0,4.0,18.0,10.0,31.2,21,No,No,2026-05-04,2026-06-22,,,
WEB-2041,WEB-2041,WEB,Scale Rows - Web Experience - Checkout web flow wave 42,In Progress,initiative,INIT-1200,Search And Discovery,Scheduled,,Yes,WEB-2041,Web Experience,WEB,22.0,11.0,19.5,3.0,3.4,50,No,No,2026-05-25,2026-06-29,,,
WEB-2044,WEB-2044,WEB,Scale Rows - Web Experience - Content publishing wave 45,In Progress,initiative,INIT-1200,Search And Discovery,Scheduled,,Yes,WEB-2044,Web Experience,WEB,21.0,7.0,20.0,7.5,13.4,33,No,No,2026-06-15,2026-08-10,,,
DATA-3002,DATA-3002,DATA,Scale Rows - Data Platform - Metrics certification wave 03,In Progress,initiative,INIT-1500,Forecasting Program,Scheduled,,Yes,DATA-3002,Data Engineering,DATA,21.0,4.0,21.0,7.0,21.9,19,No,No,2026-07-06,2026-08-17,,,
