severity,category,jira_key,schedule_key,project_key,issue_type,summary,field,old_value,new_value,color,message,reviewer_action,source_row
Info,DependencyChange,TEAM-103,TEAM-103,TEAM,Epic,Billing integration,Predecessors,,TEAM-102,changed_cell,Predecessors changed from '' to 'TEAM-102'.,Review the changed sandbox cell.,7
Info,AddedEpic,TEAM-104,TEAM-104,TEAM,Epic,Mobile shell,Name,,Mobile shell,changed_cell,Epic is new relative to the comparison baseline.,Review the added epic in the sandbox Project file.,8
Info,AddedEpic,TEAM-104,TEAM-104,TEAM,Epic,Mobile shell,Rollup Key,,PROD-100,changed_cell,Epic is new relative to the comparison baseline.,Review the added epic in the sandbox Project file.,8
Info,AddedEpic,TEAM-104,TEAM-104,TEAM,Epic,Mobile shell,Resource Group,,Product Delivery,changed_cell,Epic is new relative to the comparison baseline.,Review the added epic in the sandbox Project file.,8
Info,AddedEpic,TEAM-104,TEAM-104,TEAM,Epic,Mobile shell,% Complete,,0,changed_cell,Epic is new relative to the comparison baseline.,Review the added epic in the sandbox Project file.,8
Info,AddedEpic,TEAM-104,TEAM-104,TEAM,Epic,Mobile shell,Total Story Points,,5,changed_cell,Epic is new relative to the comparison baseline.,Review the added epic in the sandbox Project file.,8
Info,AddedEpic,TEAM-104,TEAM-104,TEAM,Epic,Mobile shell,Completed Story Points,,0,changed_cell,Epic is new relative to the comparison baseline.,Review the added epic in the sandbox Project file.,8
Info,AddedEpic,TEAM-104,TEAM-104,TEAM,Epic,Mobile shell,Jira Target Start,,2026-11-15,changed_cell,Epic is new relative to the comparison baseline.,Review the added epic in the sandbox Project file.,8
Info,AddedEpic,TEAM-104,TEAM-104,TEAM,Epic,Mobile shell,Jira Target End,,2026-12-15,changed_cell,Epic is new relative to the comparison baseline.,Review the added epic in the sandbox Project file.,8
Info,AddedEpic,TEAM-107,TEAM-107,TEAM,Epic,Dependency target outside scope,Name,,Dependency target outside scope,changed_cell,Epic is new relative to the comparison baseline.,Review the added epic in the sandbox Project file.,11
Info,AddedEpic,TEAM-107,TEAM-107,TEAM,Epic,Dependency target outside scope,Rollup Key,,PROD-100,changed_cell,Epic is new relative to the comparison baseline.,Review the added epic in the sandbox Project file.,11
Info,AddedEpic,TEAM-107,TEAM-107,TEAM,Epic,Dependency target outside scope,Resource Group,,Product Delivery,changed_cell,Epic is new relative to the comparison baseline.,Review the added epic in the sandbox Project file.,11
Info,AddedEpic,TEAM-107,TEAM-107,TEAM,Epic,Dependency target outside scope,% Complete,,0,changed_cell,Epic is new relative to the comparison baseline.,Review the added epic in the sandbox Project file.,11
Info,AddedEpic,TEAM-107,TEAM-107,TEAM,Epic,Dependency target outside scope,Total Story Points,,0,changed_cell,Epic is new relative to the comparison baseline.,Review the added epic in the sandbox Project file.,11
Info,AddedEpic,TEAM-107,TEAM-107,TEAM,Epic,Dependency target outside scope,Completed Story Points,,0,changed_cell,Epic is new relative to the comparison baseline.,Review the added epic in the sandbox Project file.,11
Info,AddedEpic,TEAM-107,TEAM-107,TEAM,Epic,Dependency target outside scope,Jira Target Start,,2026-12-01,changed_cell,Epic is new relative to the comparison baseline.,Review the added epic in the sandbox Project file.,11
Info,AddedEpic,TEAM-107,TEAM-107,TEAM,Epic,Dependency target outside scope,Jira Target End,,2026-12-20,changed_cell,Epic is new relative to the comparison baseline.,Review the added epic in the sandbox Project file.,11
Info,AddedEpic,TEAM-107,TEAM-107,TEAM,Epic,Dependency target outside scope,Dependency Review,,Missing dependency target EXT-999.,dependency_review,Epic is new relative to the comparison baseline.,Review the added epic in the sandbox Project file.,11
